total_amount_sum,total_amount_avg
484.45,23.06904761904762
475.06,19.0024
351.85,14.660416666666668
596.89,18.087575757575756
636.98,19.905625
551.09,16.69969696969697
579.88,18.12125
781.91,25.22290322580645
541.8100000000001,16.931562500000002
407.66,16.3064
558.02,23.250833333333333
474.86,20.64608695652174
433.18,15.470714285714285
841.22,26.288125
395.34,21.96333333333333
303.48,20.232000000000003
659.76,19.404705882352943
660.22,22.007333333333335
330.46,30.04181818181818
602.05,18.243939393939392
866.65,19.696590909090908
910.54,23.96157894736842
652.4,19.188235294117646
443.85,17.071153846153848
331.86,18.436666666666667
613.25,18.583333333333332
554.69,18.48966666666667
920.08,18.77714285714286
566.45,18.27258064516129
643.76,22.198620689655172
540.33,16.8853125
449.21999999999997,18.717499999999998
467.24,16.687142857142856
212.02,26.5025
450.32,18.0128
384.1,24.00625
742.04,20.612222222222222
769.61,23.32151515151515
484.72,16.157333333333334
446.26,18.594166666666666
505.36,19.436923076923076
230.82000000000002,14.426250000000001
479.72,19.1888
765.13,20.135
